id	en	de
004	Afghanistan	Afghanistan
008	Albania	Albanien
012	Algeria	Algerien
020	Andorra	Andorra
024	Angola	Angola
028	Antigua and Barbuda	Antigua und Barbuda
032	Argentina	Argentinien
036	Australia	Australien
040	Austria	Österreich
044	Bahamas	Bahamas
048	Bahrain	Bahrain
050	Bangladesh	Bangladesch
051	Armenia	Armenien
052	Barbados	Barbados
056	Belgium	Belgien
064	Bhutan	Bhutan
068	Bolivia	Bolivien
070	Bosnia and Herzegovina	Bosnien und Herzegowina
072	Botswana	Botswana
076	Brazil	Brasilien
084	Belize	Belize
090	Solomon Islands	Salomonen
096	Brunei	Brunei
100	Bulgaria	Bulgarien
104	Myanmar	Myanmar
108	Burundi	Burundi
112	Belarus	Belarus
116	Cambodia	Kambodscha
120	Cameroon	Kamerun
124	Canada	Kanada
132	Cabo Verde	Kap Verde
140	Central African Republic	Zentralafrikanische Republik
144	Sri Lanka	Sri Lanka
148	Chad	Tschad
152	Chile	Chile
156	China	China
170	Colombia	Kolumbien
174	Comoros	Komoren
178	Congo	Kongo
180	Democratic Republic of the Congo	Demokratische Republik Kongo
188	Costa Rica	Costa Rica
191	Croatia	Kroatien
192	Cuba	Kuba
196	Cyprus	Zypern
203	Czechia	Tschechien
204	Benin	Benin
208	Denmark	Dänemark
212	Dominica	Dominica
214	Dominican Republic	Dominikanische Republik
218	Ecuador	Ecuador
222	El Salvador	El Salvador
226	Equatorial Guinea	Äquatorialguinea
231	Ethiopia	Äthiopien
232	Eritrea	Eritrea
233	Estonia	Estland
242	Fiji	Fidschi
246	Finland	Finnland
250	France	Frankreich
262	Djibouti	Dschibuti
266	Gabon	Gabun
268	Georgia	Georgien
270	Gambia	Gambia
275	Palestine	Palästina
276	Germany	Deutschland
288	Ghana	Ghana
296	Kiribati	Kiribati
300	Greece	Griechenland
308	Grenada	Grenada
320	Guatemala	Guatemala
324	Guinea	Guinea
328	Guyana	Guyana
332	Haiti	Haiti
340	Honduras	Honduras
348	Hungary	Ungarn
352	Iceland	Island
356	India	Indien
360	Indonesia	Indonesien
364	Iran	Iran
368	Iraq	Irak
372	Ireland	Irland
376	Israel	Israel
380	Italy	Italien
384	Ivory Coast	Elfenbeinküste
388	Jamaica	Jamaika
392	Japan	Japan
398	Kazakhstan	Kasachstan
400	Jordan	Jordanien
404	Kenya	Kenia
408	North Korea	Nordkorea
410	South Korea	Südkorea
414	Kuwait	Kuwait
417	Kyrgyzstan	Kirgisistan
418	Laos	Laos
422	Lebanon	Libanon
426	Lesotho	Lesotho
428	Latvia	Lettland
430	Liberia	Liberia
434	Libya	Libyen
438	Liechtenstein	Liechtenstein
440	Lithuania	Litauen
442	Luxembourg	Luxemburg
450	Madagascar	Madagaskar
454	Malawi	Malawi
458	Malaysia	Malaysia
462	Maldives	Malediven
466	Mali	Mali
470	Malta	Malta
478	Mauritania	Mauretanien
480	Mauritius	Mauritius
484	Mexico	Mexiko
492	Monaco	Monaco
496	Mongolia	Mongolei
498	Moldova	Moldau
499	Montenegro	Montenegro
504	Morocco	Marokko
508	Mozambique	Mosambik
512	Oman	Oman
516	Namibia	Namibia
520	Nauru	Nauru
524	Nepal	Nepal
528	Netherlands	Niederlande
548	Vanuatu	Vanuatu
554	New Zealand	Neuseeland
558	Nicaragua	Nicaragua
562	Niger	Niger
566	Nigeria	Nigeria
578	Norway	Norwegen
586	Pakistan	Pakistan
591	Panama	Panama
598	Papua New Guinea	Papua-Neuguinea
600	Paraguay	Paraguay
604	Peru	Peru
608	Philippines	Philippinen
616	Poland	Polen
620	Portugal	Portugal
624	Guinea-Bissau	Guinea-Bissau
626	Timor-Leste	Osttimor
634	Qatar	Katar
642	Romania	Rumänien
643	Russia	Russland
646	Rwanda	Ruanda
659	Saint Kitts and Nevis	St. Kitts und Nevis
662	Saint Lucia	St. Lucia
670	Saint Vincent and the Grenadines	St. Vincent und die Grenadinen
674	San Marino	San Marino
678	Sao Tome and Principe	São Tomé und Príncipe
682	Saudi Arabia	Saudi-Arabien
686	Senegal	Senegal
688	Serbia	Serbien
690	Seychelles	Seychellen
694	Sierra Leone	Sierra Leone
702	Singapore	Singapur
703	Slovakia	Slowakei
704	Vietnam	Vietnam
705	Slovenia	Slowenien
706	Somalia	Somalia
710	South Africa	Südafrika
716	Zimbabwe	Simbabwe
724	Spain	Spanien
728	South Sudan	Südsudan
729	Sudan	Sudan
740	Suriname	Suriname
748	Eswatini	Eswatini
752	Sweden	Schweden
756	Switzerland	Schweiz
760	Syria	Syrien
762	Tajikistan	Tadschikistan
764	Thailand	Thailand
768	Togo	Togo
776	Tonga	Tonga
780	Trinidad and Tobago	Trinidad und Tobago
784	United Arab Emirates	Vereinigte Arabische Emirate
788	Tunisia	Tunesien
792	Turkey	Türkei
795	Turkmenistan	Turkmenistan
798	Tuvalu	Tuvalu
800	Uganda	Uganda
804	Ukraine	Ukraine
807	North Macedonia	Nordmazedonien
818	Egypt	Ägypten
826	United Kingdom	Vereinigtes Königreich
834	Tanzania	Tansania
840	United States of America	Vereinigte Staaten
858	Uruguay	Uruguay
860	Uzbekistan	Usbekistan
862	Venezuela	Venezuela
882	Samoa	Samoa
887	Yemen	Jemen
894	Zambia	Sambia
